Номер,Название,НМЦ,Аванс,Валюта закупки,Дата публикации,Планируемая дата публикации,Окончание приема заявок,Проведение отбора,Этап отбора,Тип торгов,Ссылка на ЕИС,Способ отбора,ЭТП,"СМП, СОНО",Размещает  закупку,Контактное лицо,Метка ,Комментарий,Ответственный,Регион,Название.1,ИНН,КПП,Телефон,Место поставки,Место поставки из документов,source_date,in_registry
32616161757,Программный комплекс Frost 3D версии «Многоядерная CPU Standart»,1879200.0,,RUB,2026-06-30 09:47:20.000,,,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,"Для СМП, СОНО","5042109739-504201001
АО «Научно-Исследовательский Центр «Строительство»",Путивцев Е. А.. +7 (495) 6020070. putivcevea@cstroy.ru,,,,50 Московская область,АО «Научно-Исследовательский Центр «Строительство»,5042109739.0,504201001.0,"84956020070
88495602070
84991701548
84901707075
84950000000
84951701548
84991701023
84951712250
84991705792
84991706312","Центральный федеральный округ, Москва, Москва, 2-ая Институтская ул., 6",,01.07.2026,False
ЗП6062916,"241_Приобретение программного обеспечения (Слайдер Диаграмм) для нужд ПАО ""Юнипро"".",,,,2026-06-30 14:04:05.000,,2026-07-13 15:00:00,,Завершена,Коммерческие,,Запрос предложений,ТЭК-Торг,,"8602067092-860201001
ПАО «Юнипро»",Паршенкова Татьяна Викторовна. (495) 545-38-38 (доб. 4980). parshenkova_t@unipro.energy,,,,86 Ханты-Мансийский АО (Югра),ПАО «Юнипро»,8602067092.0,860201001.0,"83427424501
83462381211
83915371368
83915371802
84816629159
84955453839
88495545383
84955453838
83427421396
83427424300",,,01.07.2026,False
B3006260940302,Предоставление права использования Сервисов корпоративной электронной почты ao-kmp.ru на 6 месяцев,99456.0,,RUB,2026-06-30 09:40:30.000,,2026-07-02 12:00:00,,Завершена,Коммерческие,,Тендер,Росэлторг (ЕЭТП),,"7813649764-781301001
АО «Корпорация Морского Приборостроения»",см. документацию. см. документацию. см. документацию,,,,78 Санкт-Петербург,АО «Корпорация Морского Приборостроения»,7813649764.0,781301001.0,"88126797626
88122323198
88124998241","Россия, г Санкт-Петербург",,01.07.2026,False
РН60606194,26-69-м Электротехническое оборудование,,,,2026-06-30 16:37:58.000,,2026-07-07 16:00:00,,Завершена,Коммерческие,,Запрос оферт,ТЭК-Торг,,"7727004530-890401001
АО «Роспан Интернешнл»",Повх Полина Александровна. 7-3494-243639. pa_povkh3@rspn.rosneft.ru,,,,89 Ямало-Ненецкий АО,АО «Роспан Интернешнл»,7727004530.0,890401001.0,"83494243505
83494243907
83494243954
83494243396
83494243510
83494243511
83494243559
83494243730
83494947132",,,01.07.2026,False
32616162609,Оказание услуг по интеграции медицинской информационной системы «Ариадна» с сервисом «Прикрепление онлайн» государственной информационной системы «Региональный сегмент единой государственной информационной системы в сфере здравоохранения» для нужд ГОАУЗ «МОСП»,359000.0,,RUB,2026-06-30 11:33:04.000,,2026-07-07 10:00:00,,Признана несостоявшейся,223-ФЗ,ЕИС,Запрос котировок в электронной форме,РТС-тендер,"Для СМП, СОНО","5190068500-519001001
Государственное Областное автономное учреждение Здравоохранения «Мурманская Областная Стоматологическая Поликлиника»",Калинина Л. В.. 79646800532. ZK.Stom51@mail.ru,,,,51 Мурманская область,Государственное Областное автономное учреждение Здравоохранения «Мурманская Областная Стоматологическая Поликлиника»,5190068500.0,519001001.0,"600237
88152411572
88152476611
88152441713
88152454058
88152456948
88152458727
88152600245
88152600433
89646800236","Северо-Западный федеральный округ, Мурманская   обл, г. Мурманск, ул. Капитана Буркова, д.17.  При наличии технической возможности работы или их часть выполняются Исполнителем по месту его нахождения (удалённо) с использованием телекоммуникационных сетей, защищенной сети передачи данных",,01.07.2026,False
10458764,Информационные услуги,13500.0,,RUB,2026-06-30 12:42:59.000,,2026-07-06 08:00:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"2626001011-262601001
МБУДО «Спортивная Школа по Единоборствам»",см. документацию. см. документацию. см. документацию,,,,26 Ставропольский край,МБУДО «Спортивная Школа по Единоборствам»,2626001011.0,262601001.0,"88793420789
88793424611",Ставропольский край,,01.07.2026,False
2026006109119,Оказание услуг по продлению регистрации домена COMMIM.SPB.RU,1487.0,,RUB,2026-06-30 15:56:00.000,,2026-07-01 15:56:00,,Завершена,Малые закупки,,Малая закупка,Комитет по государственному заказу Санкт‑Петербурга,,"7832000076-784201001
Комитет Имущественных Отношений Санкт-Петербурга",Баранов Евгений Николаевич. 8-812-5765918. baranov@commim.spb.ru,,,,78 Санкт-Петербург,Комитет Имущественных Отношений Санкт-Петербурга,7832000076.0,784201001.0,"88125767917
88125762116
88125765993
88125767143
88124948763
88125762311
88125763919
88125763929
88125766288
88125767515",по счету,,01.07.2026,False
6126802,Оказание услуг по продлению регистрации домена COMMIM.SPB.RU,1487.0,,RUB,2026-06-30 15:56:20.000,,2026-07-01 15:56:00,,Завершена,Малые закупки,,Малая закупка,Портал поставщиков,,"7832000076-784201001
Комитет Имущественных Отношений Санкт-Петербурга",Баранов Евгений Николаевич. 8-812-5765918,,,,78 Санкт-Петербург,Комитет Имущественных Отношений Санкт-Петербурга,7832000076.0,784201001.0,"88125767917
88125762116
88125765993
88125767143
88124948763
88125762311
88125763919
88125763929
88125766288
88125767515",по счету; г г Санкт-Петербург,,01.07.2026,False
2026006109167,Оказание услуг по продлению регистрации домена RGIS.SPB.RU,1487.0,,RUB,2026-06-30 16:00:00.000,,2026-07-01 16:00:00,,Завершена,Малые закупки,,Малая закупка,Комитет по государственному заказу Санкт‑Петербурга,,"7832000076-784201001
Комитет Имущественных Отношений Санкт-Петербурга",Баранов Евгений Николаевич. 8-812-5765918. baranov@commim.spb.ru,,,,78 Санкт-Петербург,Комитет Имущественных Отношений Санкт-Петербурга,7832000076.0,784201001.0,"88125767917
88125762116
88125765993
88125767143
88124948763
88125762311
88125763919
88125763929
88125766288
88125767515",по счету,,01.07.2026,False
6126812,Оказание услуг по продлению регистрации домена RGIS.SPB.RU,1487.0,,RUB,2026-06-30 16:00:23.000,,2026-07-01 16:00:00,,Завершена,Малые закупки,,Малая закупка,Портал поставщиков,,"7832000076-784201001
Комитет Имущественных Отношений Санкт-Петербурга",Баранов Евгений Николаевич. 8-812-5765918,,,,78 Санкт-Петербург,Комитет Имущественных Отношений Санкт-Петербурга,7832000076.0,784201001.0,"88125767917
88125762116
88125765993
88125767143
88124948763
88125762311
88125763919
88125763929
88125766288
88125767515",по счету; г г Санкт-Петербург,,01.07.2026,False
3472001,Оказание Услуг по переводу системы «ПАК «ЭСМО» разработки ООО «КВАЗАР» на использование импортонезависимого программного обеспечения,,,,2026-06-30 10:36:47.000,,2026-07-09 23:59:59,,Завершена,Коммерческие,,Мониторинг цен,ЭТП «Фабрикант»,,"2453013555-246750001
АО «Производственное Объединение «Электрохимический завод»",,,,,24 Красноярский край,АО «Производственное Объединение «Электрохимический завод»,2453013555.0,246750001.0,"83916994000
83916994208
83916994624
83916933322
83916933321
83916993173
83916993736
83916994185
83916994645
83916994666","Россия, г Зеленогорск",,01.07.2026,False
200909031126100148,"Услуги по обслуживанию, администрированию и анализу автоматизированного мониторинга состояния ПО Интернет-ресурсов",92460.0,,RUB,2026-06-30 10:00:25.000,,2026-06-30 12:00:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"3666027794-366601001
ФГБОУ Высшего Образования «Воронежский Государственный Медицинский Университет Имени Н. Н. Бурденко» Министерства Здравоохранения РФ",Кондусова Вера Тимофеевна. +7(473)264-42-23. e.vgma@yandex.ru,,,,36 Воронежская область,ФГБОУ Высшего Образования «Воронежский Государственный Медицинский Университет Имени Н. Н. Бурденко» Министерства Здравоохранения РФ,3666027794.0,366601001.0,"84732530470
84732520251
2530474
2551221
2554654
84722530457
84732253045
84732264422
84732530332
84732530574","г Воронеж, ул Студенческая, д 10; г Воронеж, пр-кт Революции, д 14; г Воронеж, пер Здоровья, д 16",,01.07.2026,False
85443105731260000180000,"Оказание услуг по адаптации, модификации, установке, предоставлению доступа и сопровождению адаптированных и модифицированных электронных информационно-справочных систем нормативно-технической документации «Техэксперт»",287910.0,,RUB,2026-06-30 07:34:07.000,,,,Завершена,223-ФЗ,ЕИС,"Закупка у единственного поставщика (исполнителя, подрядчика)",ЕИС,,"5443105731-544601001
ГБУ Новосибирской обл. «Управление ветеринарии Искитимского района Новосибирской области»",,,,,54 Новосибирская область,ГБУ Новосибирской обл. «Управление Ветеринарии Искитимского Района Новосибирской Области»,5443105731.0,544601001.0,"83834323480
83834323494
83834324089
83834323495
89833099947
83834323048
83834329916
89538850762",,,01.07.2026,False
32616162950,Оказание услуг по сопровождению автоматизированной библиотечной системы (АИБС «МегаПро),249000.0,,RUB,2026-06-30 12:17:41.000,,,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,"Для СМП, СОНО","7703013574-770301001
Федеральное государственное автономное образовательное учреждение Высшего Образования «Московский Государственный Юридический Университет Имени О.Е. Кутафина (Мгюа)»","Соболевская Е. С.. +7 (499) 2448888, доб.: 2402. espoddubnaya@msal.ru",,,,77 Москва,Федеральное государственное автономное Образовательное учреждение Высшего Образования «Московский Государственный Юридический Университет Имени О.Е. Кутафина (Мгюа)»,7703013574.0,770301001.0,"83532319577
83532319734
83532319911
84992448050
88332644644
88332654882
84872306601
84956897854
84957728256
84992448720","г. Москва, ул. Садовая-Кудринская, д. 9",,01.07.2026,False
200908693126100044,"услуги по сопровождению, внедрению, модификации и настройке программного обеспечения на платформе ""1С"", установленного на компьютерах Заказчика",61500.0,,RUB,2026-06-30 14:16:08.000,,2026-06-30 16:16:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"4347027870-434501001
Муниципальное бюджетное Общеобразовательное учреждение «СОШ №53» Города Кирова",Стешова Анна Константиновна. +7(833)223-18-13. school-k53@mail.ru,,,,43 Кировская область,Муниципальное бюджетное Общеобразовательное учреждение «СОШ №53» Города Кирова,4347027870.0,434501001.0,88332231813,"Кировская обл, г Киров, ул Шинников, д 33а",,01.07.2026,False
82318021687260000010000,"оказание услуг по внедрению, адаптации и модификации программы ЭВМ и сопровождению баз данных АСУ питания в ОУ",36000.0,,RUB,2026-06-30 21:41:56.000,,,,Завершена,223-ФЗ,ЕИС,"Закупка у единственного поставщика (исполнителя, подрядчика)",ЕИС,,"2318021687-231801001
Муниципальное Общеобразовательное бюджетное учреждение СОШ № 88 г. Сочи им. Героя Советского Союза Баграмяна Ивана Христофоровича",,,,,23 Краснодарский край,Муниципальное Общеобразовательное бюджетное учреждение СОШ № 88 г. Сочи им. Героя Советского Союза Баграмяна Ивана Христофоровича,2318021687.0,231801001.0,"88622526541
88622745541
89183034870",,,01.07.2026,False
10458920,"Оказание услуг по предоставлению доступа к сервису ""Ассистент Преподавателя""",40000.0,,RUB,2026-06-30 13:08:44.000,,2026-07-01 13:04:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"5042067976-504201001
Муниципальное бюджетное общеобразовательное учреждение «Лицей №24 имени Героя Советского Союза А.В.Корявина»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение «Лицей №24 имени Героя Советского Союза А.В.Корявина»,5042067976.0,504201001.0,"84965510209
84965510210
84986021027
84986021095
84986021123
84986021142
84986021143
84986021376",Сергиев Посад,,01.07.2026,False
EX26063000001,"Запрос котировок на оказание консультационных услуг в части анализа и проектирования архитектуры платежных процессов и для реализации проекта Платежный Хаб для нужд ""Азиатско-Тихоокеанский Банк"" (АО)",,,,2026-06-30 00:00:00.000,,2026-07-10 10:00:00,,Работа комиссии,Коммерческие,,Запрос предложений,ЭТП РФ,,"2801023444-280101001
«Азиатско-Тихоокеанский Банк» (ПАО)",Шатрова Виктория Викторовна. zakupki@atb.su,,,,77 Москва,«Азиатско-Тихоокеанский Банк» (ПАО),2801023444.0,280101001.0,"84114537715
84162222356
84162224549
88001001321
88007758888
83012211328
84132223105
84153161206
84162335478
84162425815",Удаленно или по согласованию с Заказчиком.,,01.07.2026,False
10459983,"Лицензия на право использования программного обеспечения для ЭВМ ""ТехноКад-Муниципалитет""",89600.0,,RUB,2026-06-30 16:08:40.000,,2026-07-02 16:07:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"5050010740-505001001
Администрация муниципального образования городской округ Лосино-Петровский",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Администрация муниципального образования городской округ Лосино-Петровский,5050010740.0,505001001.0,"84965674318
84965674082
84965674928
84965675858
84962525069
84964674082
84965617082
84965674072
84965674080
84965674263",в соответствии с тз,,01.07.2026,False
ROSSETI30062600006,"Разработка и поставка электронного учебно-методического комплекса (ЭУМК) для обучения персонала ПАО ""Россети Ленэнерго"" по программе: ""Информационная безопасность"" (606/2026)",498980.0,,RUB,2026-06-30 00:00:00.000,,2026-07-06 11:00:00,,Завершена,Коммерческие,,Запрос предложений,Росэлторг (ЕЭТП),,"7803002209-781401001
ПАО «Россети Ленэнерго»",Нечеухина Анастасия Леонидовна. 7-812-4939250. necheuhina.al@lenenergo.ru,,,,78 Санкт-Петербург,ПАО «Россети Ленэнерго»,7803002209.0,781401001.0,"88002200220
88002202220
88124939463
88124943352
88124943509
88125953250
88125958640
88125958662
88126304220
88136331250","197349, г. Санкт-Петербург, мун. округ Озеро Долгое вн. тер. г.,ул. Гаккелевская, д. 21, литера А",,01.07.2026,False
32616161018,Оказание услуг по внедрению комплексной системы защиты рабочих станций и серверов с применением решения Secret Net Studio для АО «КрасЭКо»,1191519.5,,RUB,2026-06-30 07:46:29.000,,2026-07-15 10:00:00,2026-08-14 15:00:00,Работа комиссии,223-ФЗ,ЕИС,Закупка иного способа размещения,ЭТП ГПБ,,"2460087269-246601001
АО «Красноярская Региональная Энергетическая Компания»",Якушевич П. М.. 73912286207 2250. pyakushevich@kraseco24.ru,,,,24 Красноярский край,АО «Красноярская Региональная Энергетическая Компания»,2460087269.0,246601001.0,"83912286207
83192286207
83912222862
83912226207
83912236207
83912286220
83912286224
83912286262
83912371886
83915622862",Согласно закупочной документации,,01.07.2026,False
100149656126100125,услуги по предоставлению возможности публикации предложений о трудоустройстве (вакансий),30480.0,,RUB,2026-06-30 09:40:04.000,,2026-07-01 09:40:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"6924009888-694901001
Федеральное казенное учреждение «Исправительная колония № 10 Управления Федеральной службы исполнения наказаний по Тверской области»",Плошкин Роман Анатольевич. +7(482)238-66-98. kozlov.d.an@69.fsin.gov.ru,,,,69 Тверская область,Федеральное казенное учреждение «Исправительная колония № 10 Управления Федеральной службы исполнения наказаний по Тверской области»,6924009888.0,694901001.0,"84822386644
84822386688
84822386695
84822386697
84822386698
84822386699
88482238669
89040144774
89038053219
84822366695",,,01.07.2026,False
10457404,"Приобретение услуг по настройке и адаптации медицинской информационной системы ""АРИАДНА""",34160.0,,RUB,2026-06-30 10:12:38.000,,2026-07-02 10:00:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"7537003104-753701001
ГБУЗ «Краевая Клиническая Психиатрическая Больница Имени В.Х. Кандинского»",см. документацию. см. документацию. см. документацию,,,,75 Забайкальский край,ГБУЗ «Краевая Клиническая Психиатрическая Больница Имени В.Х. Кандинского»,7537003104.0,753701001.0,"83022401469
83022401483
89148005496
89644625992
83022377327
83022401481","672030, Забайкальский край, г. Чита, ГБУЗ ""ККПБ им. В. Х. Кандинского"".",,01.07.2026,False
32616161994,"Поставка оборудования IT для достижения результата (выполнения мероприятия) федерального проекта ""Профессионалитет"" государственной программы Российской Федерации ""Развитие образования"".",6272455.87,,RUB,2026-06-30 10:20:41.000,,2026-07-08 07:00:00,2026-07-08 00:00:00,Завершена,223-ФЗ,ЕИС,Конкурс в электронной форме,РТС-тендер,"Для СМП, СОНО","6664024218-667901001
Государственное автономное Профессиональное Образовательное учреждение Свердловской обл. «Екатеринбургский Энергетический Техникум»",Скворцова К. Н.. 9678552157. xenia1981@mail.ru,,,,66 Свердловская область,Государственное автономное Профессиональное Образовательное учреждение Свердловской обл. «Екатеринбургский Энергетический Техникум»,6664024218.0,667901001.0,"83432569613
83432569614
83432569616
83432569617
83432569642
89089026943
89918005414","Уральский федеральный округ, Свердловская   обл, Свердловская   обл, ОКАТО: 65000000000","Свердловская область
Уральский Федеральный Округ
Свердловская область, г Екатеринбург",01.07.2026,False
32616164789,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на поставку программного обеспечения для выполнения задач по проектированию объектов строительства и реконструкции в 2026 году",7734400.0,,RUB,2026-06-30 15:46:33.000,,2026-07-08 08:30:00,2026-07-15 00:00:00,Завершена,223-ФЗ,ЕИС,Аукцион в электронной форме,Росэлторг (ЕЭТП),"Для СМП, СОНО","7701984274-770101001
АО «Мосводоканал»",Шестеркина С. В.. +7 (499) 2639316. zakupki@mosvodokanal.ru,,,,77 Москва,АО «Мосводоканал»,7701984274.0,770101001.0,"84992616720
84992639118
84997633434
84813577134
84956822271
84992639102
84992639116
84992639294
84992639312
84992639349",,,01.07.2026,False
228863,"Уведомление о проведении открытого запроса предложений на осуществление развития и технической поддержки информационной системы СЭД Босс Референт в 2026-2029ггг в интересах ГК ПАО ""МТС (Торги № 228863)",,,,2026-06-30 12:43:00.000,,2026-07-06 18:00:00,,Завершена,Коммерческие,,Запрос предложений,МТС,,"7740000076-770901001
ПАО «Мобильные ТелеСистемы»",Климонтова Татьяна. +79831285677. trklimon@mts.ru,,,,77 Москва,ПАО «Мобильные ТелеСистемы»,7740000076.0,770901001.0,"83952980938
83847565020
83919490065
83952990875
84957660001
84957660055
84957660166
88002500930
88212788000
89124322008",г.Москва,,01.07.2026,False
1981511,Закупка в области: Продукты программные и услуги по разработке и тестированию программного обеспечения,3381840.0,,RUB,2026-06-30 00:00:00.000,,2026-07-08 09:59:00,,Завершена,Коммерческие,,Мониторинг цен,ЭТП ГПБ,,,см. документацию. см. документацию. см. документацию,,,,,,,,,,,01.07.2026,False
32616165424,"право заключения договора на оказание услуг по техническому обслуживанию и ремонту средств вычислительной и оргтехники в 2026-2028 годах управления корпоративных и технологических АСУ для нужд исполнительного аппарата ПАО «Россети Юг», филиала ПАО «Россети Юг» - «Ростовэнерго»",10715290.5,,RUB,2026-06-30 17:08:29.000,,2026-07-08 11:00:00,,Работа комиссии,223-ФЗ,ЕИС,Конкурс в электронной форме,Росэлторг (ЕЭТП),"Для СМП, СОНО","6164266561-616401001
ПАО «Россети Юг»",Ключникова О. С.. 8633070483. kluchnikovaos@rosseti-yug.ru,,,,61 Ростовская область,ПАО «Россети Юг»,6164266561.0,616401001.0,"88632385895
88632385389
88632385565
88633070468
88633070480
88473392062
88633070483
88633070662
88634633359
88638631445","Южный федеральный округ, Ростовская   обл, Согласно закупочной документации","Ростовская область
Южный Федеральный Округ
Ростовская область, г Ростов-на-Дону",01.07.2026,False
32616165616,Предоставление прав использования программного обеспечения (обновлений) системы корпоративных коммуникаций для электронно-вычислительных машин на условиях простой (неисключительной) для нужд ООО «ДОМ.РФ Центр сопровождения»,5197500.0,,RUB,2026-06-30 17:41:19.000,,,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,Сбербанк-АСТ,,"7707308480-770401001
АО «Сбербанк-Автоматизированная Система Торгов»",+7 (495) 7758686. aand.bondarenko@sscdomrf.ru,,,,36 Воронежская область,ООО «Дом.РФ Центр Сопровождения»,3666240353.0,366601001.0,"84957754740
716407
84957755544","Центральный федеральный округ, Москва, В соответствии с требованиями закупочной документации",,01.07.2026,False
57714239823260004340000,Оказание услуг по предоставлению неисключительной лицензии на использование программы для ЭВМ («ЦОВ Манго-Офис») для нужд ГАОУ ДПО «Корпоративный университет»,56000.0,,RUB,2026-06-30 11:37:15.000,,,,Завершена,223-ФЗ,ЕИС,"Закупка у единственного поставщика (исполнителя, подрядчика)",ЕИС,,"7714239823-771301001
Государственное автономное Образовательное учреждение ДПО г. Москвы «Корпоративный Университет Московского Образования»",,,,,77 Москва,Государственное автономное Образовательное учреждение ДПО г. Москвы «Корпоративный Университет Московского Образования»,7714239823.0,771301001.0,"84999765989
84999771310
89169636234
84951514411
84953666680
84956120168
84956377646
84957081591
89104002754
89262775934",,,01.07.2026,False
